member_name,member_party,member_state,member_chamber,member_bio_guide_id,total_trade_volume,photo_url
Adam  Smith,Democrat,Washington,House of Representatives,S000510,136000,https://www.congress.gov/img/member/116_rp_wa_9_smith_adam_200.jpg
Adam B.  Schiff,Democrat,California,Senate,S001150,32500,https://www.congress.gov/img/member/677d870dfdb6cf36bbb649b3_200.jpg
Angus S.  King,Independent,Maine,Senate,K000383,184000,https://www.congress.gov/img/member/k000383_200.jpg
April  McClain Delaney,Democrat,Maryland,House of Representatives,M001232,580000,https://www.congress.gov/img/member/677446d80b34857ecc90911f_200.jpg
August  Pfluger,Republican,Texas,House of Representatives,P000048,40000,https://www.congress.gov/img/member/p000048_200.jpg
Austin  Scott,Republican,Georgia,House of Representatives,S001189,136000,https://www.congress.gov/img/member/s001189_200.jpg
Bill  Hagerty,Republican,Tennessee,Senate,H000601,32500,https://www.congress.gov/img/member/h000601_200.jpg
Byron  Donalds,Republican,Florida,House of Representatives,D000032,184000,https://www.congress.gov/img/member/d000032_200.jpg
Cleo  Fields,Democrat,Louisiana,House of Representatives,F000110,11942500,https://www.congress.gov/img/member/677426250b34857ecc90908f_200.jpg
Cliff  Bentz,Republican,Oregon,House of Representatives,B000668,16000,https://www.congress.gov/img/member/b000668_200.jpg
Dan  Newhouse,Republican,Washington,House of Representatives,N000189,128000,https://www.congress.gov/img/member/116_rp_wa_4_newhouse_dan_200.jpg
Daniel  Meuser,Republican,Pennsylvania,House of Representatives,M001204,1704500,https://www.congress.gov/img/member/6776ebbf4f8a93753830ca7d_200.jpg
David  McCormick,Republican,Pennsylvania,Senate,M001243,750000,https://www.congress.gov/img/member/677d85e0fdb6cf36bbb649aa_200.jpg
David J.  Taylor,Republican,Ohio,House of Representatives,T000490,304500,https://www.congress.gov/img/member/677460190b34857ecc9091a3_200.jpg
Debbie  Wasserman Schultz,Democrat,Florida,House of Representatives,W000797,48000,https://www.congress.gov/img/member/116_rp_fl_23_wassermanschultz_debbie_200.jpg
Donald  Norcross,Democrat,New Jersey,House of Representatives,N000188,32500,https://www.congress.gov/img/member/n000188_200.jpg
Dwight  Evans,Democrat,Pennsylvania,House of Representatives,E000296,33000,https://www.congress.gov/img/member/115_rp_pa_2_evans_dwight_200.jpg
Eleanor Holmes  Norton,Democrat,DC,House of Representatives,N000147,32500,https://www.congress.gov/img/member/116_dg_dc_norton_eleanor_200.jpg
Gilbert Ray  Cisneros,Democrat,California,House of Representatives,C001123,1496000,https://www.congress.gov/img/member/6807d8d63e52ea7df920ef05_200.jpg
Harold  Rogers,Republican,Kentucky,House of Representatives,R000395,8000,https://www.congress.gov/img/member/r000395_200.jpg
J. French  Hill,Republican,Arkansas,House of Representatives,H001072,812000,https://www.congress.gov/img/member/h001072_200.jpg
Jake  Auchincloss,Democrat,Massachusetts,House of Representatives,A000148,32500,https://www.congress.gov/img/member/67817e391f9ad6ea6fb1ebda_200.jpg
James  Comer,Republican,Kentucky,House of Representatives,C001108,80000,https://www.congress.gov/img/member/c001108_200.jpg
James C.  Justice,Republican,West Virginia,Senate,J000312,375000,https://www.congress.gov/img/member/67c86b5e6159152e59828b1a_200.jpg
Jerry  Moran,Republican,Kansas,Senate,M000934,24000,https://www.congress.gov/img/member/m000934_200.jpg
